Headline,Attention
"If You Know Anyone Who Is Afraid Of Gay People, Here's A Cartoon That Will Ease Them Back To Reality",1
"SCIENCE FACT: Gay Science, Like Straight Science, Is Really Just Plain Old Fact Science",0
Why Yoko Ono Is The Only Thing Standing Between New York And Catastrophic Gas Fracking,1
New York's Last Chance To Preserve Its Water Supply,0
It's Easy To Become Homeless. It's Almost Impossible To Get Back.,1
"If You're Homeless For A Month, There's A Good Chance You'll Be Homeless For Life",0
"Thousands Of Protesters Are About To Descend On Washington, D.C. Here's Why.",1
Could This Be The Most Important Protest Of 2013?,0
How An Insurance Company Bought Its Very Own Senator,1
How Much Does It Cost To Buy Off A Politician? About The Price Of A Used Car.,0
Conan O'Brien Does Some Investigative Journalism. The Result Is Hilarious.,1
Hypnotic: 82 Seconds That Prove The Media Is Just A Gigantic 10-Year-Old,0
I Wouldn't Mind Getting Sent To This Principal's Office,1
A Dispatch From The Front Lines In The Fight Against Bullying,0
The Dirty Secret In Every Restaurant Menu,1
What Happens When You Combine Financial Desperation With Your Steak?,0
The Mind-Boggling Stupidity Of The Sequester Explained In Plain English,1
So Congress Just Punked Itself. Again.,0
A Comedian Silences A Room For 9 Minutes. It's Not An Awkward Silence.,1
A Comedian Goes 9 Minutes Without A Laugh — On Purpose,0
Can You Imagine Going Through Something Like This When You Were In High School?,1
I'll Bet This Isn't What You Picture When You Hear The Phrase 'Illegal Immigrant',0
The Real Reason They Still Play 'Mrs. Robinson' On The Radio,1
The Real Reason They Still Play 'Mrs. Robinson' On The Radio,0
A Terrified Child Genius Saves His Own Life With Engineering Skills,1
You Have 50 Seconds To Make A Suit Of Armor. GO!,0
Candy Has Less Sugar Than A Sandwich?,1
Candy Has Less Sugar Than A Sandwich?,0
I Guess These Models Don't Sell Products Quite As Well,1
These Models Are Making People Get Their Checkbooks Out,0
There Is Actually One Golden Rule To Prevent Sexual Assault,1
10 Tips GUARANTEED To Prevent Rape,0
A Stand-Up Comedian Sums Up The Gay Rights Debate In 30 Seconds,1
A Stand-Up Comedian Gives A Hilarious Crash Course On The Gay Rights Debate,0
The Chart That Might Just Bring Forth The Apocalypse,1
Things America Is Less Gooder At: Basic Scientific Comprehension,0
EPIC MASHUP: The Women Of Mad Men Sing For Their Freedom,1
If I Had To Deal With What These Women Deal With I Would Be Mad Too,0
This Preacher Attacks Gay Marriage. And It Makes Me Want To Marry Him.,1
"It Doesn't Matter If You Are For Or Against Marriage Equality, You Will Love Some Part Of This Video",0
7 Ways To Make Sure You Don't Hate Your Life And Actually Enjoy It And Stuff,1
The Perfect Thing To Do When Your Spouse Cheats On You Or Your Cat Explodes,0
The Top 8 Ways To Be 'Traditionally Married' According To The Bible,1
The Top 8 Ways To Be 'Traditionally Married' According To The Bible,0
"What Do You Get With 2 Guys, 1 Girl, And 200 Condoms?",1
200 Condoms Were Harmed In The Making Of This Video,0
2 Years Ago Gabby Giffords Was Shot In The Head. Now She's Got Something Important To Say.,1
Optimism About Gun Violence From The Woman Who Knows Far Too Much About Gun Violence,0
Why It's Great To Grow Up In Scandinavia,1
Why It's Great To Grow Up In Countries With Really Cool Accents,0
What A Wonderful World It'd Be If More People Would Just Commit Narcissistic And Antisocial Behavior,1
Daily Show Contributor’s Epic Takedown Of The Blank White Page,0
Finally: A Mode Of Transportation That Helps Clean The Air As You Use It,1
This Is The Most X-Treme Way Of Fighting Pollution I’ve Ever Seen,0
One Conspiracy Theory That's Actually Worth Your Time,1
Would You Let Someone Steal Your Stuff And Sell It Overseas? Because That's What's Been Happening.,0
I Guarantee You'll Never See Any Of These Kids Interviewed On Fox,1
"If Obama Was Inspired From Dreams From His Father, He Should Be Extra Motivated By This",0
Soledad O'Brien Clashes With Anti-Gay Interview Guest,1
"CNN's Best Journalist In Action. By The Way, They're Getting Rid Of Her.",0
A Bunch Of Bullies Thought It Would Be Funny To Pummel This Kid. They Aren't Laughing Now.,1
This Bullied Kid Went Through Hell So Your Kids Won't Have To,0
"Here's A Magazine Saying ""Sorry We're Not Sorry"" For Being Racist",1
Popular Business Magazine Warns That The Minorities Care About Fancy Houses Now,0
Those Idiots From “Jackass” Have Nothing On This Air Force Vet,1
Meet The Man Who’ll Save At Least A Few Of Your Lives One Day,0
"A Very ""Shocking"" 98 Seconds. That Joke (Although Terrible) Will Make WAY More Sense After Watching.",1
"If You Enjoy The Ol' Night Sky, You Should Get Your Fill ASAP. It Genuinely Won't Be There For Long.",0
The Most Beautiful Way To Stop A Bully I've Ever Seen,1
The Most Beautiful Way To Stop A Bully I've Ever Seen,0
"These Workers Just Want Money, And You Won’t Believe What They Did To Get Some",1
"Money Can’t Buy Happiness, But Maybe It’ll Get These Workers To Stop Singing",0
Meet The 13 Year-Old Who's Making Most Scientists Look Pretty Stupid,1
"Genius Inventor Cracks Secret Of Trees To Harness Solar Power. Oh, And He’s 13.",0
When Did Sex Become A Sin? This Woman Can Tell You.,1
"If Sex Is Sacred, Why Are We So Scared To Talk About It?",0
A Joke About Male Genitalia That Even Hillary Clinton Would Laugh At,1
"Finally, An Answer To The Question: Do Feminist D**k Jokes Exist?",0
Racists Spray-Paint A Comedian's Car. They Shouldn't Have Done That.,1
"An 'Arab' Filmmaker Drives His Car Into Cardboard Twin Towers. Trust Me, You'll Be On His Side.",0
The National Holiday We Used To Celebrate In November Until Thanksgiving Came Along,1
"11,000 People You Should Really Be Thankful For On Thanksgiving",0
The. Most Astounding Fact. EVER.,1
The. Most Astounding Fact. EVER.,0
This Guy Has Gotten More Confessions Out Of People Than The Frickin Pope,1
Shhh. This Video Has A Bunch Of Secrets.,0
Love It: An NFL Player Who Genuinely Respects Women,1
This 2-Time Super Bowl Champ Is Dancing For Women's Rights. Will You Join Him?,0
The CEO Of The NRA Attacks Himself In The Most Reasonable Super Bowl Ad Of 2013,1
The NRA's CEO Attacks The NRA's Biggest Fan For Being Unreasonable,0
"If This Video Makes You Uncomfortable, Then You Make Me Uncomfortable",1
