Headline,Attention Score
WTF? Princeton Professor Profoundly Offended By Intellectuals,1
Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,1
A Chart That's Giving Harsh Realities About Vaccinations,1
"When this deaf woman went to Starbucks, she got a lot more than a tasty Frappuccino.",1
"If you're not sure what to say to someone who's experienced something horrible, start here.",1
"I don’t love to paint murals, but it probably beats the heck out of violating probation.",1
It looks like a love triangle at first. Then comes the twist — and it's adorable.,1
A charity put her face on a poster and told all of London her secret. How would you have handled it?,1
She says this superhero has a mental illness and I agree.,1
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,1
A 1-minute video for any kid you know who may be depressed,1
This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,1
A commercial that was pulled in America. It's time to change the tide.,1
"Everyone seemed to love him, but 3 men killed him. Let's remember why we fight for equality.",1
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",1
"2000 were killed, hundreds are missing, and some were made slaves, but we stay quiet",1
"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",1
She taught them both in 3rd grade. After they got married one of them interviews her. It's so sad.,1
An 81-year-old Supreme Court justice just gave the most badass answer to a ridiculous question.,1
"It’s meant as a compliment, but what it really says is, ‘You don't fit in.’",1
"In every shot, only 1 word changes. But that word makes all the difference.",1
A dog on the verge of death meets a prisoner with no hope,1
She made a cool invention. Now she's using it to save 12 million people.,1
"The video went viral, but did people miss what was so great about it?",1
People who work for McDonald’s aren’t 'Lovin’ it.' So they asked the company some questions.,1
The long showers you like to take are not the *real* problem.,1
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,1
The way this married host acted around Kate Upton shows the sad state of respecting women.,1
He's moving his prosthetics with his mind?! We're living in the future.,1
Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,1
"It has a 1-word chorus, but it may be the most glorious Oscar-nominated song of the last 10 years.",1
His best friend's was killed by his own mother. Here's how he looks at it.,1
"A cartoon about catcalling from the man's perspective is totally disturbing, and that's the point.",1
An embarrassing dad made his kid's birthday party awful. And set public health back 100 years.,1
This guy gained two fully functional arms thanks to the big brains of SCIENCE.,1
What would happen if FOX news asked Walmart the tough questions?,1
She came up with an invention to save 12 million people. Genius? Kinda.,1
The Catholic Church is trying to solve this problem. So should we.,1
Fox News finally went off on Walmart for their shady practices. PSYCH.,1
A famous athlete tattooed 50 names on his body for a sad reason. Showing them got him suspended.,1
"The next time you ask someone to pass the guacamole, remember what he says.",1
"A before and after shot that didn't change the man, but it will probably change the way you see him",1
A popular TV show from the 70s was one of the first to brilliantly call out unfair pay for women.,1
Here is the smartest money move we could make. How dumb is it that we're not?,1
I've been waiting to hear a message like this from an elected official since my kids were little.,1
The #1 huge thing we're all missing when we try to be environmentally friendly.,1
Protein shakes aren't as harmless as you might think. Just take a look at these men.,1
He is black. He is privileged. And all of that concerns his parents.,1
These racist idiots spray-painted a swastika on the dumbest/best location possible.,1
How 1 haircut and a before and after photo may change everything for people,1
"Call her dark, call her skinny, call her beautiful, just don’t ever call her Iman",1
Short-shorts and high kicks meet super advanced science degrees. Surprised? You shouldn't be.,1
